Month_No^Month^Season^Weather^Multiplier
1^Iceheart^Season of the Twilight^The Calm^0.7
1^Iceheart^Season of the Twilight^Petrichor Rain^0.5
1^Iceheart^Season of the Twilight^Skyquakes^1.0
1^Iceheart^Season of the Twilight^Thunder Booms^1.0
1^Iceheart^Season of the Twilight^Living Cyclones^0.4
1^Iceheart^Season of the Twilight^Nanite Storm^1.0
1^Iceheart^Season of the Twilight^Elemental Bursts^1.0
1^Iceheart^Season of the Twilight^Ice Blossoms^4.0
1^Iceheart^Season of the Twilight^Moonbows^1.0
1^Iceheart^Season of the Twilight^Umbral Tempest^2.0
1^Iceheart^Season of the Twilight^Flat Rain^1.0
1^Iceheart^Season of the Twilight^Psionic Storm^1.0
1^Iceheart^Season of the Twilight^Shadowstorms^1.0
1^Iceheart^Season of the Twilight^Chrono Fog^1.0
1^Iceheart^Season of the Twilight^Volcanic Storm^0.4
1^Iceheart^Season of the Twilight^Anti-Gravity Vortex^1.0
1^Iceheart^Season of the Twilight^Necrotic Shroud^1.0
1^Iceheart^Season of the Twilight^Glass Rain^1.0
1^Iceheart^Season of the Twilight^Waterfall Shower^0.4
1^Iceheart^Season of the Twilight^Cosmic Storm^1.0
1^Iceheart^Season of the Twilight^Dimensional Scars^1.0
2^Frostbloom^Season of the Twilight^The Calm^1.0
2^Frostbloom^Season of the Twilight^Petrichor Rain^0.6
2^Frostbloom^Season of the Twilight^Skyquakes^1.0
2^Frostbloom^Season of the Twilight^Thunder Booms^1.0
2^Frostbloom^Season of the Twilight^Living Cyclones^0.5
2^Frostbloom^Season of the Twilight^Nanite Storm^1.0
2^Frostbloom^Season of the Twilight^Elemental Bursts^1.0
2^Frostbloom^Season of the Twilight^Ice Blossoms^3.5
2^Frostbloom^Season of the Twilight^Moonbows^1.0
2^Frostbloom^Season of the Twilight^Umbral Tempest^1.8
2^Frostbloom^Season of the Twilight^Flat Rain^1.0
2^Frostbloom^Season of the Twilight^Psionic Storm^1.0
2^Frostbloom^Season of the Twilight^Shadowstorms^1.0
2^Frostbloom^Season of the Twilight^Chrono Fog^1.0
2^Frostbloom^Season of the Twilight^Volcanic Storm^0.4
2^Frostbloom^Season of the Twilight^Anti-Gravity Vortex^1.0
2^Frostbloom^Season of the Twilight^Necrotic Shroud^1.4
2^Frostbloom^Season of the Twilight^Glass Rain^1.0
2^Frostbloom^Season of the Twilight^Waterfall Shower^1.0
2^Frostbloom^Season of the Twilight^Cosmic Storm^1.0
2^Frostbloom^Season of the Twilight^Dimensional Scars^1.0
3^Stormwatch^Season of the Mists^The Calm^0.6
3^Stormwatch^Season of the Mists^Petrichor Rain^1.0
3^Stormwatch^Season of the Mists^Skyquakes^2.0
3^Stormwatch^Season of the Mists^Thunder Booms^1.0
3^Stormwatch^Season of the Mists^Living Cyclones^3.0
3^Stormwatch^Season of the Mists^Nanite Storm^1.0
3^Stormwatch^Season of the Mists^Elemental Bursts^1.0
3^Stormwatch^Season of the Mists^Ice Blossoms^0.5
3^Stormwatch^Season of the Mists^Moonbows^1.0
3^Stormwatch^Season of the Mists^Umbral Tempest^1.0
3^Stormwatch^Season of the Mists^Flat Rain^2.2
3^Stormwatch^Season of the Mists^Psionic Storm^1.0
3^Stormwatch^Season of the Mists^Shadowstorms^1.0
3^Stormwatch^Season of the Mists^Chrono Fog^1.0
3^Stormwatch^Season of the Mists^Volcanic Storm^1.0
3^Stormwatch^Season of the Mists^Anti-Gravity Vortex^1.0
3^Stormwatch^Season of the Mists^Necrotic Shroud^1.0
3^Stormwatch^Season of the Mists^Glass Rain^1.0
3^Stormwatch^Season of the Mists^Waterfall Shower^2.0
3^Stormwatch^Season of the Mists^Cosmic Storm^1.0
3^Stormwatch^Season of the Mists^Dimensional Scars^1.0
4^Cloudbreak^Season of the Mists^The Calm^1.2
4^Cloudbreak^Season of the Mists^Petrichor Rain^3.0
4^Cloudbreak^Season of the Mists^Skyquakes^1.0
4^Cloudbreak^Season of the Mists^Thunder Booms^1.0
4^Cloudbreak^Season of the Mists^Living Cyclones^1.0
4^Cloudbreak^Season of the Mists^Nanite Storm^1.0
4^Cloudbreak^Season of the Mists^Elemental Bursts^1.0
4^Cloudbreak^Season of the Mists^Ice Blossoms^0.3
4^Cloudbreak^Season of the Mists^Moonbows^1.0
4^Cloudbreak^Season of the Mists^Umbral Tempest^1.0
4^Cloudbreak^Season of the Mists^Flat Rain^1.6
